step byteswritten deletes hits images imagesizes inserts merges pkgs realsize reqsize size upkgs usize
235 9934908162876 20 20 24 74507541159 44 172 25971 91905110344 24222338660 1394172576072 6010 392164431359
236 10034284112365 20 20 24 74507541159 44 173 26098 99375949489 30687263945 1401643415217 6031 392907567423
237 10091570175771 21 20 23 72476141404 44 174 24887 57286063406 19921123541 1332971055400 5922 386955341385
238 10156189268887 21 20 23 72476141404 44 175 25047 64619093116 21586611600 1340304085110 5937 387662605187
239 10229160862949 21 20 23 72971594062 44 176 25301 72971594062 30177305875 1346666573621 5965 389559393639
240 10326582382466 21 20 23 72971594062 44 177 25394 97421519517 34377362482 1351581109468 6005 391263759311
241 10363683153700 21 20 23 72971594062 44 178 25648 37100771234 29119635119 1372118848173 6015 391729437256
242 10411656666438 21 20 23 72971594062 44 179 25923 47973512738 29719125818 1382991589677 6034 393175747094
243 10474683939619 21 20 23 72971594062 44 180 26202 63027273181 31417748885 1398045350120 6049 394711275689
244 10498336348673 21 20 24 72723867733 45 180 26517 23652409054 23652409054 1421697759174 6049 394711275689
245 10501520890875 24 20 22 76308532987 46 180 25095 3184542202 3184542202 1345414675053 5954 389303038500
246 10537747113445 24 20 22 76308532987 46 181 25312 36226222570 20624263115 1357988488569 5967 391513752009
247 10582985145392 24 20 22 76308532987 46 182 25478 45238031947 19455603700 1367000297946 5983 394377966152
248 10585761759283 24 20 23 72971594062 47 182 25564 2776613891 2776613891 1369776911837 5985 394395995975
249 10658725796870 24 20 23 72971594062 47 183 25753 72964037587 34698134731 1379713676243 6012 396055225743
250 10658725796870 24 21 23 72971594062 47 183 25753 66861667280 31895726320 1379713676243 6012 396055225743
251 10712498887231 24 21 23 72971594062 47 184 25888 53773090361 22380780956 1388248734657 6025 396716973042
252 10722992930065 24 21 24 72967815824 48 184 26079 10494042834 10494042834 1398742777491 6028 396779471831
253 10785150878723 24 21 24 72967815824 48 185 26393 62157948658 28912920874 1407127635788 6061 399263435088
254 10795157019991 26 21 23 72964037587 49 185 25143 10006141268 10006141268 1336403426352 5919 387425054049
255 10868059301499 26 21 23 72964037587 49 186 25266 72902281508 32181257893 1344686614744 5942 390764706700
256 10901261437114 26 21 23 72964037587 49 187 25597 33202135615 31769027330 1367394707525 5968 391751142311
257 10986724852229 26 21 23 72971594062 49 188 25864 85463415115 35301875591 1379955841132 5992 392877918637
258 11034193847622 26 21 23 72971594062 49 189 26195 47468995393 34941465762 1394222700910 6018 394506523746
259 11130952511690 26 21 23 72971594062 49 190 26280 96758664068 31311424143 1402225436432 6041 397564085211
260 11152194931402 27 21 22 72967815824 49 191 24769 21242419712 16257415954 1316959715936 5886 382760202966
261 11223008156286 27 21 22 72967815824 49 192 25022 70813224884 30901497045 1325614992162 5909 384281939735
262 11288753098920 27 21 22 72967815824 49 193 25333 65744942634 43690318700 1343890939403 5941 385850952395
263 11298070928146 27 21 23 72964037587 50 193 25614 9317829226 9317829226 1353208768629 5950 386050869968
264 11309773359315 27 21 23 72964037587 50 194 25756 11702431169 9836377511 1361726657596 5954 386272896822
265 11349778914165 27 21 23 72964037587 50 195 26175 40005554850 35042750965 1385697943862 5988 390740982029
266 11374509537699 27 21 23 72964037587 50 196 26330 24730623534 11602364310 1389186147684 5994 391328618095
267 11402316503794 27 21 23 72964037587 50 197 26475 27806966095 13292236039 1392262490245 6002 391616410777
268 11442661213900 27 21 23 72964037587 50 198 26656 40344710106 28530696972 1404800234256 6017 394054998134
269 11442661213900 28 22 22 71888631235 50 198 25143 114058152719 37462965370 1314224977014 5883 378729771743
270 11469100378384 28 22 22 71888631235 50 199 25390 26439164484 21742954742 1328961710329 5889 379072366226
271 11485414728578 28 22 23 70813224884 51 199 25714 16314350194 16314350194 1345276060523 5901 379405129921
272 11515742009782 28 22 23 70813224884 51 200 25818 30327281204 13770922012 1349164177243 5910 380183753364
273 11522801667027 28 22 24 68837446082 52 200 25950 7059657245 7059657245 1356223834488 5913 380291571133
274 11581629358156 28 22 24 68837446082 52 201 26200 58827691129 37646732189 1374706815511 5942 384147600800
275 11618258978614 28 22 24 68837446082 52 202 26307 36629620458 16777552545 1381009154765 5949 384346736530
276 11618258978614 28 23 24 68837446082 52 202 26307 6424351553 6424351553 1381009154765 5949 384346736530
277 11691753984349 28 23 24 71888631235 52 203 26452 73495005735 33842340797 1388759217866 5981 386203725936
278 11759490556636 28 23 24 71888631235 52 204 26759 67736572287 32324533679 1397668099024 6013 388346741788
