picks choicecount closurecount choicesize closuresize
627 608 2368 46254259312 130518085017
628 609 2369 46258041760 130650660477
629 610 2375 46324035178 130883800214
630 611 2377 46325323909 130885892167
631 612 2378 46405641483 130967938683
632 613 2379 46484252031 130979445304
633 613 2381 46487122648 130983156862
634 614 2382 46558601451 131486677864
635 615 2383 46646584224 131571585489
636 616 2385 46646628343 131713797937
637 617 2387 46742657330 131718278804
638 618 2388 46758188503 131888555734
639 619 2389 46768025264 132064290021
640 619 2390 46847959029 132404141432
641 620 2390 46852392602 132603927756
642 621 2391 46970773046 132670969139
643 622 2392 46979890973 132707658819
644 623 2393 47023513321 132903798261
645 624 2394 47091668877 133133313200
646 625 2395 47170631865 133137643203
647 626 2402 47225437476 133479177572
648 627 2403 47303336100 133488193730
649 628 2411 47303578970 133660856045
650 629 2412 47305901953 133667218896
651 630 2417 47306262749 133723773272
652 631 2420 47325861243 133808548731
653 632 2420 47402684904 133871309587
654 633 2423 47404958037 133995946661
655 634 2424 47407163681 134085140627
656 635 2427 47460978835 134199927346
657 636 2432 47479201426 134252308913
658 637 2437 47487599112 134457218298
659 638 2437 47564136214 134587903032
660 638 2438 47565114872 134694149915
661 639 2439 47594792700 134763382984
662 640 2441 47595071600 134763720401
663 641 2442 47601257051 134822665745
664 642 2445 47711261689 135042391975
665 643 2448 47754699011 135169314630
666 644 2449 47755572056 135169829125
667 645 2455 47759423851 135426794032
668 646 2457 47783361899 135459545832
669 647 2458 48110241452 135790680689
670 648 2459 48505238146 135919267740
671 649 2461 48676465716 136644071101
672 650 2462 48688487504 136756607511
673 651 2463 48842501899 136772649914
674 652 2465 49062261535 136773054834
675 653 2466 49142219641 136778791148
676 654 2469 49181108484 136862611410
677 655 2470 49181496291 136871046623
678 656 2471 49348907305 136995273546
679 656 2473 49356040479 137170472446
680 657 2474 49388987028 137232725268
681 658 2475 49555554999 137276278014
682 659 2477 49607132986 137305981244
683 660 2478 49642447535 137307104619
684 661 2482 49685734931 137411730925
685 662 2484 49762801290 137603895051
686 663 2486 49763036930 138035528218
687 664 2487 49763085825 138489646268
688 665 2488 49862200044 138614994977
689 666 2488 49939936314 138704809297
690 667 2490 50105334191 138869736424
691 668 2492 50343567907 138874146908
692 669 2493 50346644722 139281496624
693 670 2496 50352310087 139348915584
694 670 2497 50425328820 139355356762
695 671 2498 50457216533 139520381491
696 672 2499 50458649324 139799884602
697 673 2500 50458856534 139799884602
698 674 2502 50483169104 139836768966
699 675 2506 50486924919 139880171773
700 676 2506 50489028714 139962415317
701 677 2506 50591766033 139967557005
702 678 2508 50794847886 140096081908
703 679 2508 50831700330 140107857631
704 680 2509 50933473796 140323461444
705 681 2512 51081999575 140405877334
706 682 2518 51083991472 140410624578
707 683 2519 51254105776 140441315361
708 684 2520 51289085357 140557377429
709 685 2520 51374288861 140666300365
710 685 2522 51391617914 140849501557
711 686 2525 51549983236 140899958988
712 687 2526 51564390946 141180276713
